"Test Case","Technique ID","Campaign","Description"
"Spearphishing Link - Macro","T1566.002","Initial Access","Send a spearphishing email to a target inbox that contains a link to a malicious payload"
"Spearphishing Link - PDF with Link (Google Drive)","T1566.002","Initial Access","Send a link to a PDF payload hosted on Google Drive that has a link to an exe also hosted on Google Drive to a target user"
"Attachment - Macro - Remote Template","T1566.001","Initial Access","Send phishing email to victim containing a malicious attachment."
"Spearphishing Attachment - Macro","T1566.001","Initial Access","Send a spearphishing attachment containing a malicious macro payload to a target inbox"
"HTML Smuggling Attachment","T1566.001","Initial Access","Send phishing email to victim containing an HTML attachment that saves an embedded ISO file to disk"
"Spearphishing Attachment - PDF with Link (Google Drive)","T1566.001","Initial Access","Send a PDF attachment payload that has a link to an exe hosted on Google Drive to a target user."
"External Portal Spray - 1","T1110.003","Initial Access","Perform a password spray against an external login portal using a list of potential users and a single password"
"Execute remote exe using MSI payload","T1218.007","Execution","Using msiexec and an MSI payload, download and execute an exe hosted on a public HTTPS server"
"Remote template VBS launcher","T1221","Execution","Execute an Office document on the endpoint that will pull down and execute a malicious document template containing a macro to launch a VBS payload"
"Macro - Remote Template","T1221","Execution","Execute a malicious Office document on the endpoint"
"DLL execution using Rundll32","T1218.011","Execution","Execute a malicious UPX-packed DLL's function directly using rundll32"
"VBScript execution using Rundll32","T1218.011","Execution","Execute in-line VBScript code using rundll32"
"Execution using PowerShell encoded command","T1059.001","Execution","Establish an initial foothold using a PowerShell encoded command that launches a Cobalt Strike beacon in-memory"
"Process creation using Regsvr32 and DLL","T1218.010","Execution","Spawn a new process with Regsvr32 and an on-disk DLL payload."
"C2 over Dropbox","T1102.002","Command and Control","Establish a command and control channel using Dropbox"
"Beacon DNS over udp/53 (TXT)","T1071.004","Command and Control","Connect to an attacker-controlled command and control server over DNS TXT communications"
"HTTPS C2 using self-signed certificate and custom profile","T1071.001","Command and Control","Connect to an attacker-controlled command and control server that uses a self-signed certificate with known characteristics"
"Cobalt Strike Beacon over HTTP tcp/80 using custom profile","T1071.001","Command and Control","Connect to an attacker-controlled command and control server over HTTP"
"Cobalt Strike Beacon over HTTPS tcp/443 using custom profile","T1071.001","Command and Control","Connect to an attacker-controlled command and control server over HTTPS"
"Remote tool download over FTP","T1105","Command and Control","Download a binary payload into the environment using FTP"
"Download batch file using bitsadmin over HTTP","T1105","Command and Control","Download a batch file payload from a public HTTP server using bitsadmin"
"Download file over HTTP using Certutil","T1105","Command and Control","Download a file from a public HTTP server using certutil"
"Persist via Registry Run Key","T1547.001","Persistence","Run a payload during user login by setting a registry run key to launch a VBScript file in the user's Documents folder"
"Persist via new startup folder item","T1547.001","Persistence","Persist on a system by placing an binary payload in a startup folder"
"Persist via Windows "Load" Registry Run Key","T1547.001","Persistence","Run a payload during user login by setting a registry run key to launch an executable file in the user's local APPDATA folder"
"Persist via new Windows service created in Registry","T1543.003","Persistence","Create a new Windows service by modifying the Registry"
