"Test Case","Technique ID","Campaign","Description"
"Link - ISO","T1566.002","Initial Access","Send phishing email to victim containing a link to an ISO"
"Attachment - Zipped ISO","T1566.001","Initial Access","Send an ISO payload in a ZIP archive to a target user in an email."
"Attachment - Zipped macro","T1566.001","Initial Access","Send a malicious macro-enabled Office document in a ZIP archive to a target user in an email."
"External employee login from suspicious location","T1078","Initial Access","Login to an external employee portal from an unexpected geolocation"
"Simultaneous employee logins from different geolocations","T1078","Initial Access","Successfully login from two distinct geolocations to an external employee portal"
"Prompt a user with multiple MFA requests","T1621","Initial Access","Using valid credentials for a user, prompt that user with multiple MFA requests in a short period of time in order to induce them to accept the prompt."
"External employee portal spray","T1110.003","Initial Access","Perform a password spray against an external employee login portal using a list of potential users and a single password"
"Link - Smuggle ISO file in HTML","T1027.006","Initial Access","Send a link to an HTML page that will initiate the download of an ISO payload encoded in that page"
"Process creation using exe","T1106","Execution","Spawn a new process using compiled exe payload"
"Process creation using LNK to execute exe","T1106","Execution","Execute a modified shortcut to start an attacker controlled exe"
"Execution using Office macro","T1204.002","Execution","Establish an initial foothold using a malicious Office macro"
"Macro - HTA dropper","T1204.002","Execution","Execute malicious Office document on the endpoint that creates then executes an HTA file"
"Internal network scan using Net Scan","T1046","Discovery","Perform an internal network scan to discover other hosts and services on the internal network using Network Scanner by SoftPerfect"
"AdFind AD enumeration","T1087.002","Discovery","Use ADFind to perform enumeration of domain resources"
"Enumerate Domain Admins using net.exe","T1087.002","Discovery","Enumerate members of the domain administrators group using the builtin net.exe"
"Enumerate domain and local users","T1087.002","Discovery","Enumerate domain and local users using the builtin net.exe"
"Domain trust discovery via nltest.exe","T1482","Discovery","Identify domain trust relationships using nltest.exe"
"Domain Controller discovery via nltest","T1018","Discovery","Use nltest.exe commands to identify domain controllers in the domain"
"Share discovery via net.exe","T1135","Discovery","Use net.exe to list out shares for the system"
"Persist via new scheduled task","T1053.005","Persistence","Persist on a system by creating a new scheduled task"
"New local administrator","T1136.001","Persistence","Create a new local user then add them to the "Administrators" group using the builtin net.exe"
"Persist via new Windows service created in Registry","T1543.003","Persistence","Create a new Windows service by modifying the Registry"
"Deploy webshell","T1505.003","Persistence","Deploy a webshell to a compromised web server"
"Registry Run Key","T1547.001","Persistence","Run a payload during user login and startup by setting a registry run key"
"Encrypt a large amount of files","T1486","Impact","Encrypt a large amount of files on the endpoint to simulate ransomware"
"Encrypt a large amount of files - network share","T1021.002","Impact","Encrypt a large amount of files on a remote endpoint to simulate ransomware"
"Process creation using HTA","T1218.005","Defense Evasion","Spawn a new process using an HTA payload and the builtin mshta.exe"
"Execution using odbcconf.exe and RSP file","T1218.008","Defense Evasion","Execute DLL payload using builtin odbcconf.exe and an RSP file"
"DLL execution using Rundll32","T1218.011","Defense Evasion","Execute a malicious DLL's function directly using rundll32"
"Stop multiple services using net.exe","T1489","Defense Evasion","Stop multiple services/service processes on the endpoint using the builtin net.exe"
"Bypass User Account Control (UAC) via fodhelper","T1548.002","Defense Evasion","Bypass user account control (UAC) to move to a high-integrity execution context via fodhelper.exe and a Registry modification"
"Clear the Windows Event Log entries","T1070.001","Defense Evasion","Clear the Windows Application and Security Event Log entries using the builtin wevtutil.exe"
"Pass-the-ticket","T1550.003","Defense Evasion","Dump a Kerberos ticket from one computer then use it on another system to make a network request to a domain resource (e.g. access a share)"
"Process creation using Regsvr32 and DLL","T1218.010","Defense Evasion","Spawn a new process using a DLL payload and the builtin regsvr32.exe"
"Execution via DLL Search Order Hijacking","T1574.001","Defense Evasion","Execute an attacker-controlled DLL by placing it in a higher precedence search location for a native Windows binary after renaming it to share a name with a DLL expected to be loaded by the binary."
"Access via remote assistance tool","T1219","Command and Control","Establish connection to system using a legitimate remote assistance application"
"HTTPS C2 over tcp/443","T1071.001","Command and Control","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over HTTPS"
"HTTP C2 over tcp/80","T1071.001","Command and Control","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over HTTP"
"DNS TXT C2 over udp/53","T1071.004","Command and Control","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over DNS TXT records"
"Download file over HTTP using Certutil","T1105","Command and Control","Download a file from a public HTTP server using certutil"
"Remote tool download over HTTP","T1105","Command and Control","Download a tool from a public hosting location onto the victim system"
"C2 over Dropbox","T1102.002","Command and Control","Establish a command and control channel over Dropbox from the internal network"
"Generate Nord VPN traffic on the internal network","T1572","Command and Control","Generate Nord VPN traffic on the internal network"
"Dump LSASS memory using builtin comsvcs.dll","T1003.001","Credential Access","Use rundll32.exe and comsvcs.dll to dump LSASS process memory to disk"
"Extract LSASS Process Memory via Sysinternals ProcDump","T1003.001","Credential Access","Use ProcDump from Sysinternals to dump LSASS process memory"
"Dump LSASS Memory using Task Manager","T1003.001","Credential Access","Use Task Manager to dump LSASS process memory to disk"
"Extract SAM, Security, and System hives","T1003.002","Credential Access","Use reg.exe to extract credentials from the Registry"
"Extract NTDS credentials via vssadmin.exe","T1003.003","Credential Access","Dump domain hashes for all domain users on the domain controller via VSS (Volume Shadow Services) by taking a shadow copy of the NTDS.dit file with vssadmin.exe"
"Extract NTDS credentials via ntdsutil.exe","T1003.003","Credential Access","Dump domain hashes for all domain users on the domain controller via ntdsutil.exe, which uses Volume Shadow Services (VSS)"
"Extract Browser Credentials","T1555.003","Credential Access","Extract credentials information (saved passwords, sessions) from browser"
"Extract domain user credentials via replication","T1003.006","Credential Access","Replicate a user's hash from a domain controller using replication APIs."
"Data compression via 7zip","T1560.001","Collection","Compress file(s) using the 7zip utility"
"Lateral Movement via RDP","T1021.001","Lateral Movement","Perform an interactive logons to a Windows system via RDP"
