"Test Case","Technique ID","Campaign","Description"
"Attachment - Zipped JScript","T1566.001","Initial Access","Send a malicious JScript payload in a ZIP archive to a target user in an email."
"Attachment - Macro in encrypted archive","T1566.001","Initial Access","Send phishing email to victim containing attachment with malicious attachment in a password-protected ZIP archive. This is intended to test the mail gateway (and sandbox analysis) in isolation."
"Attachment - Zipped ISO","T1566.001","Initial Access","Send an ISO payload in a ZIP archive to a target user in an email."
"Link - Zipped ISO","T1566.002","Initial Access","Send a link to a zipped ISO payload hosted on a webserver on the Internet"
"Prompt a user with multiple MFA requests","T1621","Initial Access","Using valid credentials for a user, prompt that user with multiple MFA requests in a short period of time in order to induce them to accept the prompt."
"Link - Smuggle ISO file in HTML","T1027.006","Initial Access","Send a link to an HTML page that will initiate the download of an ISO payload encoded in that page"
"Macro - HTA dropper","T1204.002","Execution","Execute malicious Office document on the endpoint that creates then executes an HTA file"
"Execution using Office macro","T1204.002","Execution","Establish an initial foothold using a malicious Office macro"
"Process creation using exe","T1106","Execution","Spawn a new process using compiled exe payload"
"Certutil decode Base64 encoded payload","T1140","Defense Evasion","Use certutil.exe to decode an encoded payload file"
"Process creation using HTA","T1218.005","Defense Evasion","Spawn a new process using an HTA payload and the builtin mshta.exe"
"Process creation using Regsvr32 and DLL","T1218.010","Defense Evasion","Spawn a new process using a DLL payload and the builtin regsvr32.exe"
"DLL execution using Rundll32","T1218.011","Defense Evasion","Execute a malicious DLL's function directly using rundll32"
"Bypass User Account Control (UAC) via fodhelper","T1548.002","Defense Evasion","Bypass user account control (UAC) to move to a high-integrity execution context via fodhelper.exe and a Registry modification"
"Execution using odbcconf.exe and RSP file","T1218.008","Defense Evasion","Execute DLL payload using builtin odbcconf.exe and an RSP file"
"Remote tool download over HTTP","T1105","Command and Control","Download a tool from a public hosting location onto the victim system"
"Access via remote assistance tool","T1219","Command and Control","Establish connection to system using a legitimate remote assistance application"
"HTTPS C2 over tcp/443","T1071.001","Command and Control","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over HTTPS"
"HTTP C2 over tcp/80","T1071.001","Command and Control","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over HTTP"
"DNS TXT C2 over udp/53","T1071.004","Command and Control","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over DNS TXT records"
"Dump LSASS memory using Process Hacker","T1003.001","Credential Access","Use Process Hacker to dump LSASS process memory to disk"
"In-memory LSASS credential dumping","T1003.001","Credential Access","Extract credentials from process memory using Mimikatz's logonpasswords module in-memory"
"Extract LSASS Process Memory via Sysinternals ProcDump","T1003.001","Credential Access","Use ProcDump from Sysinternals to dump LSASS process memory"
"Extract local user credentials using hashdump","T1003.002","Credential Access","Use hashdump to extract local user credentials from the SAM"
"Extract SAM, Security, and System hives","T1003.002","Credential Access","Use reg.exe to extract credentials from the Registry"
"Extract NTDS credentials via vssadmin.exe","T1003.003","Credential Access","Dump domain hashes for all domain users on the domain controller via VSS (Volume Shadow Services) by taking a shadow copy of the NTDS.dit file with vssadmin.exe"
"Extract Browser Credentials","T1555.003","Credential Access","Extract credentials information (saved passwords, sessions) from browser"
"Enumerate Domain Admins using net.exe","T1087.002","Discovery","Enumerate members of the domain administrators group using the builtin net.exe"
"Discover SPNs via setspn.exe","T1087.002","Discovery","Identify service principal names set using the builtin setspn.exe"
"Domain trust discovery via nltest.exe","T1482","Discovery","Identify domain trust relationships using nltest.exe"
"Share discovery via net.exe","T1135","Discovery","Use net.exe to list out shares for the system"
"Remote system discovery with net.exe","T1018","Discovery","Identify remote systems and information using net.exe"
"Security tool discovery via WMI","T1518.001","Discovery","Enumerate installed security tools on the local system using WMI"
"Process discovery via tasklist.exe","T1057","Discovery","Enumerate running processes via the builtin tasklist.exe"
"Enumerate local admins with net.exe","T1087.001","Discovery","Enumerate local admin on the system using net.exe"
"Internal network scan using Net Scan","T1046","Discovery","Perform an internal network scan to discover other hosts and services on the internal network using Network Scanner by SoftPerfect"
"Lateral Movement via RDP","T1021.001","Lateral Movement","Perform an interactive logons to a Windows system via RDP"
"Lateral Movement via WMI","T1021.003","Lateral Movement","Move to another system by using Windows Management Instrumentation (WMI) to spawn a process on that target system"
"Persist via new Windows service created in Registry","T1543.003","Persistence","Create a new Windows service by modifying the Registry"
"Registry RunOnce key","T1547.001","Persistence","Run a payload during user login by setting a registry run key"
"New startup folder item","T1547.001","Persistence","Persist on a system by placing an executable payload in a user's startup folder"
"Persist via new scheduled task","T1053.005","Persistence","Persist on a system by creating a new scheduled task"
"Hide user from logon screen","T1564.002","Persistence","Modify the Registry to hide a user from being shown on the logon screen"
"New local administrator","T1136.001","Persistence","Create a new local user then add them to the "Administrators" group using the builtin net.exe"
"Extract data to MEGA using Rclone","T1567.002","Exfiltration","Extract data from a network share using Rclone to upload to MEGA"
"Extract sensitive data over HTTP C2","T1041","Exfiltration","Extract data from the network via an HTTP C2 channel over tcp/80 to external host or IP"
"Keylogger","T1056.001","Collection","Log user keystrokes"
"Data compression via 7zip","T1560.001","Collection","Compress file(s) using the 7zip utility"
"Encrypt a large amount of files","T1486","Impact","Encrypt a large amount of files on the endpoint to simulate ransomware"
"Encrypt a large amount of files - network share","T1021.002","Impact","Encrypt a large amount of files on a remote endpoint to simulate ransomware"
