"Test Case","MITRE ID","Campaign","Description"
"Register new device in SCCM","T1098.005","Privilege Escalation","Register a new device in SCCM using credentials for a machine account"
"Extract browser cookies","T1539","Credential Access","Extract cookie information from the user's browser by injecting into the browser process"
"Extract NTDS credentials from shadow","T1003.003","Credential Access","Dump domain hashes for all domain users on the domain controller by copying the NTDS.dit file from an existing shadow"
"Dump LSASS memory using Task Manager","T1003.001","Credential Access","Use Task Manager to dump LSASS process memory to disk"
"Extract SAM and System Registry folders","T1003.002","Credential Access","Extract credentials from the Registry by exporting the appropriate folders to disk"
"Targeted Kerberoasting","T1558.003","Credential Access","Retrieve Kerberos TGS tickets from Active Directory for a few users (2-3) with service principal names (SPNs) set"
"DLL execution using Rundll32","T1218.011","Execution","Execute a malicious DLL's function directly using rundll32"
"Sideload a DLL into a legitimate application","T1574.001","Execution","Rename an attacker-controlled DLL to the name of a DLL expected by a legitimate application, move that DLL to be adjacent to the application, then execute the application in order to trigger the loading of the DLL by the legitimate application."
"Execute exe using MSI payload","T1218.007","Execution","Using msiexec and an MSI payload, execute an exe embedded in the package"
"Disable Windows Firewall","T1562.004","Defense Evasion","Disable the Windows Firewall using netsh.exe"
"Clear Windows Event Log entries","T1070.001","Defense Evasion","Clear the Windows Event Log entries using the builtin wevtutil.exe to remove any attack indicators in the logs."
"Add Defender exclusion","T1562.001","Defense Evasion","Add Windows Defender folder exclusion"
"Load known-abusable kernel driver","T1014","Defense Evasion","Load a legitimate and signed kernel driver that is vulnerable to exploitation. Refer to projects like KDU (https://github.com/hfiref0x/KDU/) for potential vulnerable drivers to use. Vulnerable, signed drivers provide a privileged (kernel) execution mechanism to attackers, allowing them to bypass security controls they couldn't otherwise bypass, such as by killing protected processes."
"EDR network tampering","T1562.006","Defense Evasion","Create a firewall rule to block outbound traffic originating from EDR tool processes, preventing agents from sending data to their control plane"
"Remote tool download over HTTP","T1105","Command and Control","Download a malicious tool from a public hosting location onto the victim system"
"Access via remote assistance tool","T1219","Command and Control","Establish a connection to a system using a legitimate remote assistance application. Where possible, use remote assistance software already in use in the environment."
"HTTPS C2 over tcp/443","T1071.001","Command and Control","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over HTTPS"
"HTTP C2 over tcp/80","T1071.001","Command and Control","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over HTTP"
"Connect outbound over FTP","T1071.002","Command and Control","Establish an outbound connection to a server on the internet over FTP"
"Lateral movement via WinRM","T1021.006","Lateral Movement","Move to another system by using Windows Remote Management (WinRM) to spawn a process on that target system"
"Lateral movement via WMI","T1021.003","Lateral Movement","Move to another system by using Windows Management Instrumentation (WMI) to spawn a process on that target system"
"Lateral movement via RDP","T1021.001","Lateral Movement","Perform an interactive logon to a Windows system via RDP"
"Transfer tool remotely to target","T1570","Lateral Movement","Copy a payload to a remote target"
"Lateral movement via PsExec","T1021.002","Lateral Movement","Move to another system by creating a service remotely via Sysinternals PsExec"
"Coerce authentication from domain system","T1021","Lateral Movement","Coerce an authentication attempt by issuing an RPC request to a remote machine in order to capture/relay those credentials"
"Pass-the-ticket","T1550.003","Lateral Movement","Dump a Kerberos ticket from one system then use it on another system to make a network request to a domain resource (e.g. access a share)"
"Domain share file searching","T1083","Discovery","Search for useful files on a domain share"
"Bulk host reconnaissance","T1082","Discovery","Execute a series of discovery commands in sequence to gather information about the system/user/environment"
"Bulk Active Directory discovery","T1087.002","Discovery","Discover domain users and groups from Active Directory in bulk"
"Internal port scan","T1046","Discovery","Run an internal port scan to probe interesting ports and services."
