"Test Case","MITRE ID","Campaign","Description"
"Replay PCAP for OT service command","T1021","OT","Replay a packet capture of a dangerous OT-specific service commands (e.g. S7 stop) to simulate the traffic for passive OT security controls"
"Replay PCAP for Triton","T1021","OT","Replay a packet capture of a dangerous Triton malware to simulate the traffic for passive OT security controls"
"Lateral movement via remote service","T1021","OT","Move laterally to another system using a remote service (e.g. SSH, RDP)"
"Internal port scan against OT network","T1046","OT","Run internal port scan to probe for interesting OT-specific ports"
"Network services scan against OT target","T1046","OT","Scan an OT system for OT-specific network services"
"MQTT C2 over TCP/1883","T1071","OT","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over MQTT"
"Transfer tool remotely to target","T1570","OT","Copy a payload to a remote target"
"Remote service login brute force","T1110.001","OT","Attempt to login as a user via a remote service (e.g. SSH, Telnet) using multiple passwords"
"Prompt a user with multiple MFA requests","T1621","Initial Access","Using valid credentials for a user, prompt that user with multiple MFA requests in a short period of time in order to induce them to accept the prompt."
"Attachment - Macro","T1566.001","Initial Access","Send a spearphishing attachment containing a malicious macro payload to a target inbox"
"Attachment - ISO","T1566.001","Initial Access","Send phishing email to victim containing an ISO attachment. ISO files can be used to bypass mark-of-the-web restrictions."
"Link - Zipped DLL via sharing","T1566.002","Initial Access","Send a link to a zipped DLL payload stored on a cloud storage service like Google Drive by using the sharing features of that service"
"Macro - Remote Template","T1221","Execution","Execute a malicious Office document on the endpoint that will load a macro stored in a remote template document"
"Load known-abusable kernel driver","T1014","Defense Evasion","Load a legitimate and signed kernel driver that is vulnerable to exploitation. Refer to projects like KDU (https://github.com/hfiref0x/KDU/) for potential vulnerable drivers to use. Vulnerable, signed drivers provide a privileged (kernel) execution mechanism to attackers, allowing them to bypass security controls they couldn't otherwise bypass, such as by killing protected processes."
"DLL execution using Rundll32","T1218.011","Defense Evasion","Execute a malicious DLL's function directly using rundll32"
"Bypass User Account Control (UAC) via fodhelper","T1548.002","Defense Evasion","Bypass user account control (UAC) to move to a high-integrity execution context via fodhelper.exe and a Registry modification"
"Clear Windows Event Log entries","T1070.001","Defense Evasion","Clear the Windows Event Log entries using the builtin wevtutil.exe to remove any attack indicators in the logs."
"Sideload a DLL into a legitimate application","T1574.002","Defense Evasion","Rename an attacker-controlled DLL to the name of a DLL expected by a legitimate application, move that DLL to be adjacent to the application, then execute the application in order to trigger the loading of the DLL by the legitimate application."
"Modify identity policy in IdP","T1484","Defense Evasion","Modify an IdP policy to be more permissive for authentication. For example, disable an Azure AD conditional access policy's MFA requirement."
"Disable Windows Defender via PowerShell","T1562.001","Defense Evasion","Use PowerShell's Set-MpPreference to disable Windows Defender"
"Domain Controller discovery via nltest","T1018","Discovery","Use nltest.exe to identify domain controllers in the domain"
