"Test Case","MITRE ID","Campaign","Description"
"Prompt a user with multiple MFA requests","T1621","Initial Access","Using valid credentials for a user, prompt that user with multiple MFA requests in a short period of time in order to induce them to accept the prompt."
"Attachment - ISO","T1566.001","Initial Access","Send phishing email to victim containing an ISO attachment. ISO files can be used to bypass mark-of-the-web restrictions."
"Attachment - Zipped macro","T1566.001","Initial Access","Send a malicious macro-enabled Office document in a ZIP archive to a target user in an email."
"Suspicious external employee login","T1078","Initial Access","Login to an external employee portal from an unexpected geolocation and with an unexpected user-agent to simulate a suspicious login attempt."
"Suspicious service use","T1078","Initial Access","Interact with a service from an unexpected geolocation and with an unexpected user-agent to simulate suspicious use of the target service. This can occur, for example, when a user's token is stolen via a phishing attack then used by an attacker to assume their session and access a service."
"Macro - Remote Template","T1221","Execution","Execute a malicious Office document on the endpoint that will load a macro stored in a remote template document"
"Load known-abusable kernel driver","T1014","Defense Evasion","Load a legitimate and signed kernel driver that is vulnerable to exploitation. Refer to projects like KDU (https://github.com/hfiref0x/KDU/) for potential vulnerable drivers to use. Vulnerable, signed drivers provide a privileged (kernel) execution mechanism to attackers, allowing them to bypass security controls they couldn't otherwise bypass, such as by killing protected processes."
"Sideload a DLL into a legitimate application","T1574.002","Defense Evasion","Rename an attacker-controlled DLL to the name of a DLL expected by a legitimate application, move that DLL to be adjacent to the application, then execute the application in order to trigger the loading of the DLL by the legitimate application."
"DLL execution using Rundll32","T1218.011","Defense Evasion","Execute a malicious DLL's function directly using rundll32"
"Bypass User Account Control (UAC) via fodhelper","T1548.002","Defense Evasion","Bypass user account control (UAC) to move to a high-integrity execution context via fodhelper.exe and a Registry modification"
"Clear Windows Event Log entries","T1070.001","Defense Evasion","Clear the Windows Event Log entries using the builtin wevtutil.exe to remove any attack indicators in the logs."
"Certutil decode Base64 encoded payload","T1140","Defense Evasion","Use certutil.exe to decode an encoded payload file"
"Disable Windows Defender via PowerShell","T1562.001","Defense Evasion","Use PowerShell's Set-MpPreference to disable Windows Defender"
"Modify identity policy in IdP","T1484","Defense Evasion","Modify an IdP policy to be more permissive for authentication. For example, disable an Azure AD conditional access policy's MFA requirement."
"Domain Controller discovery via nltest","T1018","Discovery","Use nltest.exe to identify domain controllers in the domain"
"Domain trust discovery via nltest","T1482","Discovery","Identify domain trust relationships using nltest.exe"
"Internal network scan using Net Scan","T1046","Discovery","Perform an internal network scan to discover other hosts and services on the internal network using Network Scanner by SoftPerfect"
"Enumerate domain groups and users using net","T1087.002","Discovery","Enumerate domain users and domain groups using the builtin net.exe"
"BloodHound DC enumeration","T1087.002","Discovery","Use BloodHound/SharpHound to perform enumeration of domain resources against a domain controller"
"Retrieve system information","T1082","Discovery","Retrieve information about the system using multiple builtin commands"
"HTTP C2 over tcp/80","T1071.001","Command and Control","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over HTTP"
"HTTPS C2 over tcp/443","T1071.001","Command and Control","Establish a bidirectional command-and-control connection from a managed asset to an external server on the Internet over HTTPS"
